"id","opis","naziv","ekstenzija","url","binarni","dozvoljen"
175,"Frogans Player","application/vnd.frogans.ltf",".ltf","http://www.iana.org/assignments/media-types/application/vnd.frogans.ltf","t","f"
176,"Fujitsu - Xerox 2D CAD Data","application/vnd.fujixerox.ddd",".ddd","http://www.iana.org/assignments/media-types/application/vnd.fujixerox.ddd","t","f"
177,"Fujitsu - Xerox DocuWorks","application/vnd.fujixerox.docuworks",".xdw","http://www.iana.org/assignments/media-types/application/vnd.fujixerox.docuworks","t","f"
178,"Fujitsu - Xerox DocuWorks Binder","application/vnd.fujixerox.docuworks.binder",".xbd","http://www.iana.org/assignments/media-types/application/vnd.fujixerox.docuworks.binder","t","f"
179,"Fujitsu Oasys","application/vnd.fujitsu.oasys",".oas","http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasys","t","f"
180,"Fujitsu Oasys","application/vnd.fujitsu.oasys2",".oa2","http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasys2","t","f"
181,"Fujitsu Oasys","application/vnd.fujitsu.oasys3",".oa3","http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasys3","t","f"
182,"Fujitsu Oasys","application/vnd.fujitsu.oasysgp",".fg5","http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasysgp","t","f"
183,"Fujitsu Oasys","application/vnd.fujitsu.oasysprs",".bh2","http://www.iana.org/assignments/media-types/application/vnd.fujitsu.oasysprs","t","f"
184,"FutureSplash Animator","application/x-futuresplash",".spl","http://en.wikipedia.org/wiki/FutureSplash_Animator","t","f"
185,"FuzzySheet","application/vnd.fuzzysheet",".fzs","http://www.iana.org/assignments/media-types/application/vnd.fuzzysheet","t","f"
186,"G3 Fax Image","image/g3fax",".g3","http://en.wikipedia.org/wiki/T.38","t","f"
187,"GameMaker ActiveX","application/vnd.gmx",".gmx","http://www.iana.org/assignments/media-types/application/vnd.gmx","t","f"
188,"Gen-Trix Studio","model/vnd.gtw",".gtw","http://www.iana.org/assignments/media-types/model/vnd.gtw","t","f"
189,"Genomatix Tuxedo Framework","application/vnd.genomatix.tuxedo",".txd","http://www.iana.org/assignments/media-types/application/vnd.genomatix.tuxedo","t","f"
190,"GeoGebra","application/vnd.geogebra.file",".ggb","http://www.iana.org/assignments/media-types/application/vnd.geogebra.file","t","f"
191,"GeoGebra","application/vnd.geogebra.tool",".ggt","http://www.iana.org/assignments/media-types/application/vnd.geogebra.tool","t","f"
192,"Geometric Description Language (GDL)","model/vnd.gdl",".gdl","http://www.iana.org/assignments/media-types/model/vnd.gs-gdl","t","f"
193,"GeoMetry Explorer","application/vnd.geometry-explorer",".gex","http://www.iana.org/assignments/media-types/application/vnd.geometry-explorer","t","f"
194,"GEONExT and JSXGraph","application/vnd.geonext",".gxt","http://www.iana.org/assignments/media-types/application/vnd.geonext","t","f"
195,"GeoplanW","application/vnd.geoplan",".g2w","http://www.iana.org/assignments/media-types/application/vnd.geoplan","t","f"
196,"GeospacW","application/vnd.geospace",".g3w","http://www.iana.org/assignments/media-types/application/vnd.geospace","t","f"
197,"Ghostscript Font","application/x-font-ghostscript",".gsf","http://en.wikipedia.org/wiki/Ghostscript","t","f"
198,"Glyph Bitmap Distribution Format","application/x-font-bdf",".bdf","http://en.wikipedia.org/wiki/Glyph_Bitmap_Distribution_Format","t","f"
199,"GNU Tar Files","application/x-gtar",".gtar","http://www.gnu.org/software/tar/","t","f"
200,"GNU Texinfo Document","application/x-texinfo",".texinfo","http://en.wikipedia.org/wiki/Texinfo","t","f"
201,"Gnumeric","application/x-gnumeric",".gnumeric","http://en.wikipedia.org/wiki/Gnumeric","t","f"
202,"Google Earth - KML","application/vnd.google-earth.kml+xml",".kml","http://www.iana.org/assignments/media-types/application/vnd.google-earth.kml+xml","t","f"
203,"Google Earth - Zipped KML","application/vnd.google-earth.kmz",".kmz","http://www.iana.org/assignments/media-types/application/vnd.google-earth.kmz","t","f"
